,文物编号,label,纹饰,类型,颜色,表面风化,文物采样点,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2)
0,1,0,C,高钾,蓝绿,无风化,1,69.33,,9.99,6.32,0.87,3.93,1.74,3.87,,,1.17,,,0.39
1,2,4,A,铅钡,浅蓝,风化,2,36.28,,1.05,2.34,1.18,5.73,1.86,0.26,47.43,,3.57,0.19,,
2,3,1,A,高钾,蓝绿,无风化,03部位1,87.05,,5.19,2.01,,4.06,,0.78,0.25,,0.66,,,
3,3,0,A,高钾,蓝绿,无风化,03部位2,61.71,,12.37,5.87,1.11,5.5,2.16,5.09,1.41,2.86,0.7,0.1,,
4,4,0,A,高钾,蓝绿,无风化,4,65.88,,9.67,7.12,1.56,6.44,2.06,2.18,,,0.79,,,0.36
5,5,0,A,高钾,蓝绿,无风化,5,61.58,,10.95,7.35,1.77,7.5,2.62,3.27,,,0.94,0.06,,0.47
6,6,0,A,高钾,蓝绿,无风化,06部位1,67.65,,7.37,,1.98,11.15,2.39,2.51,0.2,1.38,4.18,0.11,,
7,6,0,A,高钾,蓝绿,无风化,06部位2,59.81,,7.68,5.41,1.73,10.05,6.04,2.18,0.35,0.97,4.5,0.12,,
8,7,1,B,高钾,蓝绿,风化,7,92.63,,,1.07,,1.98,0.17,3.24,,,0.61,,,
9,8,4,C,铅钡,紫,风化,8,20.14,,,1.48,,1.34,,10.41,28.68,31.23,3.59,0.37,,2.58
10,8,4,C,铅钡,紫,风化,08严重风化点,4.61,,,3.19,,1.11,,3.14,32.45,30.62,7.56,0.53,,15.03
11,9,1,B,高钾,蓝绿,风化,9,95.02,,0.59,0.62,,1.32,0.32,1.55,,,0.35,,,
12,10,1,B,高钾,蓝绿,风化,10,96.77,,0.92,0.21,,0.81,0.26,0.84,,,,,,
13,11,4,C,铅钡,浅蓝,风化,11,33.59,,0.21,3.51,0.71,2.69,,4.93,25.39,14.61,9.38,0.37,,
14,12,1,B,高钾,蓝绿,风化,12,94.29,,1.01,0.72,,1.46,0.29,1.65,,,0.15,,,
15,13,0,C,高钾,浅蓝,无风化,13,59.01,2.86,12.53,8.7,,6.16,2.88,4.73,,,1.27,,,
