文物编号,纹饰,类型,颜色,表面风化,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2)
1,C,高钾,蓝绿,无风化,0.7102755865177748,0.0,0.1023460710992726,0.0647474643991394,0.0089130212068435,0.0402622682102243,0.0178260424136871,0.039647577092511,0.0,0.0,0.0119864767954103,0.0,0.0,0.0039954922651367
2,A,铅钡,浅蓝,风化,0.3631995194714186,0.0,0.0105115627189908,0.0234257683451797,0.011812994293723,0.0573630994093503,0.0186204825307838,0.0026028631494644,0.4748223045349885,0.0,0.035739313244569,0.0019020923015316,0.0,0.0
3,A,高钾,蓝绿,无风化,0.8705,0.0,0.0519,0.0201,0.0,0.0406,0.0,0.0078,0.0025,0.0,0.0066,0.0,0.0,0.0
3,A,高钾,蓝绿,无风化,0.6240898058252428,0.0,0.1251011326860841,0.0593648867313915,0.0112257281553398,0.0556229773462783,0.0218446601941747,0.0514765372168284,0.014259708737864,0.0289239482200647,0.0070792880258899,0.0010113268608414,0.0,0.0
4,A,高钾,蓝绿,无风化,0.6858213616489693,0.0,0.100666250260254,0.0741203414532583,0.0162398500936914,0.0670414324380595,0.0214449302519258,0.0226941494899021,0.0,0.0,0.0082240266500104,0.0,0.0,0.0037476577139287
5,A,高钾,蓝绿,无风化,0.6380685939280903,0.0,0.1134597451041342,0.0761579110972956,0.0183400683866956,0.0777121541809139,0.0271474458605325,0.0338824992228784,0.0,0.0,0.0097399233240078,0.0006216972334473,0.0,0.0048699616620039
6,A,高钾,蓝绿,无风化,0.6838859684593612,0.0,0.0745046502224019,0.0,0.0200161746866154,0.112717347351395,0.0241609381318237,0.0253740396279822,0.0020218358269308,0.0139506672058228,0.0422563687828548,0.0011120097048119,0.0,0.0
6,A,高钾,蓝绿,无风化,0.6051193848644273,0.0,0.0777013354917037,0.0547349251315256,0.0175030352084176,0.1016794819910966,0.0611088628085795,0.0220558478348846,0.0035410764872521,0.0098138405503844,0.0455281262646701,0.0012140833670578,0.0,0.0
7,B,高钾,蓝绿,风化,0.9290872617853562,0.0,0.0,0.0107321965897693,0.0,0.0198595787362086,0.0017051153460381,0.0324974924774323,0.0,0.0,0.0061183550651955,0.0,0.0,0.0
8,C,铅钡,紫,风化,0.2017631737126828,0.0,0.0,0.0148266880384692,0.0,0.0134241634942897,0.0,0.1042877178922059,0.2873171709076337,0.3128631536766179,0.0359647365257463,0.0037066720096173,0.0,0.0258465237427369
8,C,铅钡,紫,风化,0.0469258957654723,0.0,0.0,0.0324714983713355,0.0,0.0112988599348534,0.0,0.0319625407166123,0.3303135179153094,0.311685667752443,0.0769543973941368,0.0053949511400651,0.0,0.1529926710097719
9,B,高钾,蓝绿,风化,0.9523904981457352,0.0,0.0059136012829507,0.0062142928736093,0.0,0.0132304299889746,0.0032073769670241,0.0155357321840232,0.0,0.0,0.0035080685576826,0.0,0.0,0.0
10,B,高钾,蓝绿,风化,0.9695421300470894,0.0,0.0092175132752229,0.0021039975954313,0.0,0.0081154192966636,0.0026049494038673,0.0084159903817252,0.0,0.0,0.0,0.0,0.0,0.0
11,C,铅钡,浅蓝,风化,0.3521333473110389,0.0,0.0022014886256421,0.0367963098857322,0.0074431282105042,0.0282000209665583,0.0,0.0516825663067407,0.2661704581192997,0.1531607086696718,0.0983331586120138,0.0038788132927979,0.0,0.0
12,B,高钾,蓝绿,风化,0.9469719795119012,0.0,0.0101436175554886,0.0072310937029225,0.0,0.0146630511198152,0.002912523852566,0.0165712564025308,0.0,0.0,0.0015064778547755,0.0,0.0,0.0
13,C,高钾,浅蓝,无风化,0.6012838801711841,0.0291420419808436,0.1276747503566334,0.0886488689627063,0.0,0.0627674750356633,0.0293458324842062,0.0481964540452415,0.0,0.0,0.0129406969635215,0.0,0.0,0.0
14,C,高钾,深绿,无风化,0.631010101010101,0.0341414141414141,0.124040404040404,0.0831313131313131,0.0066666666666666,0.0932323232323232,0.005050505050505,0.0047474747474747,0.0163636363636363,0.0,0.0016161616161616,0.0,0.0,0.0
16,C,高钾,浅蓝,无风化,0.6623310639162688,0.0213392947871151,0.1475459810994817,0.0840361751854486,0.0052840158520475,0.0627984960877959,0.004267858957423,0.0108728787724824,0.0011177725840869,0.0,0.0,0.0004064627578498,0.0,0.0
18,A,高钾,深蓝,无风化,0.8170694087403599,0.0,0.0968637532133676,0.0,0.01573264781491,0.0313624678663239,0.0,0.0,0.0,0.0,0.0139845758354755,0.000719794344473,0.0242673521850899,0.0
19,A,铅钡,0,风化,0.3001215066828676,0.0,0.0,0.0296678817334953,0.0059740785743215,0.0361482381530984,0.0134669906844876,0.0355407047387606,0.4335763466990684,0.0541717294451194,0.0894086674767112,0.0019238558120696,0.0,0.0
20,A,铅钡,浅蓝,无风化,0.4225766316027599,0.0,0.0080307657504807,0.0,0.0,0.061644610338197,0.0170795158918674,0.0540662820947856,0.1051917203936206,0.2663725822870716,0.065037891641217,0.0,0.0,0.0
21,A,高钾,蓝绿,无风化,0.7783191230207064,0.0,0.0,0.0478075517661388,0.0123832724319935,0.0628298822574096,0.0240560292326431,0.0332927324401136,0.0101502233049127,0.019995939910678,0.0111652456354039,0.0,0.0,0.0
22,B,高钾,蓝绿,风化,0.9235000000000002,0.0,0.0074,0.0166,0.0064,0.035,0.0035,0.0055,0.0,0.0,0.0021,0.0,0.0,0.0
23,A,铅钡,蓝绿,无风化,0.5574093264248705,0.0820725388601036,0.0,0.005181347150259,0.0073575129533678,0.0147150259067357,0.0,0.0309844559585492,0.1759585492227979,0.122901554404145,0.0,0.0034196891191709,0.0,0.0
24,C,铅钡,紫,无风化,0.3230177993527507,0.0,0.0,0.0047532362459546,0.0,0.0160800970873786,0.0,0.0855582524271844,0.2947006472491909,0.2652710355987054,0.0014158576051779,0.0092030744336569,0.0,0.0
25,C,铅钡,浅蓝,无风化,0.5214300432722028,0.0237997115186482,0.0,0.0064908304141767,0.0,0.0195755202967236,0.0159695033999587,0.0115392540696476,0.3286626828765712,0.0685143210385328,0.0019575520296723,0.0020605810838656,0.0,0.0
26,C,铅钡,紫,风化,0.198256862352234,0.0,0.0,0.0144259667401322,0.0,0.0070126227208976,0.0,0.105890603085554,0.2958324984972951,0.3230815467842116,0.0313564415948707,0.0045081146062913,0.0,0.0196353436185133
26,C,铅钡,紫,风化,0.0372409650615677,0.0,0.0040044048453298,0.0301331464611072,0.0,0.011812994293723,0.0,0.0360396436079687,0.2995294824306738,0.3548903794173591,0.0604665131644809,0.0062068275102612,0.0,0.1596756432075282
27,B,高钾,蓝绿,风化,0.9383665620888572,0.0,0.0,0.0095132071652666,0.005465033903451,0.0254022872178929,0.0020240866309078,0.01558546705799,0.0,0.0,0.003643355935634,0.0,0.0,0.0
28,A,铅钡,浅蓝,无风化,0.689836862904043,0.0,0.0026345121086229,0.0135778700982875,0.010132738879319,0.0476238727327996,0.0041544229405208,0.0033438038301752,0.173675144391529,0.040936265072449,0.0105380484344918,0.0012159286655182,0.0023305299422433,0.0
29,A,铅钡,浅蓝,无风化,0.6337605126151381,0.0092110532639167,0.0030036043251902,0.0298358029635562,0.0149179014817781,0.1435722867440929,0.0081097316780136,0.0074088906688025,0.1232478974769723,0.0203243892671205,0.0041049259110933,0.0025030036043251,0.0,0.0
30,A,铅钡,深蓝,无风化,0.3505870342011231,0.0,0.0143950995405819,0.0458397141398672,0.0100051046452271,0.0444104134762634,0.0216436957631444,0.0,0.4004083716181725,0.1050535987748851,0.0,0.0035732516590096,0.0040837161817253,0.0
30,A,铅钡,深蓝,无风化,0.3741641337386018,0.0,0.0,0.0429584599797365,0.0051671732522796,0.0391084093211752,0.0277608915906788,0.0,0.382370820668693,0.1048632218844984,0.0142857142857142,0.0048632218844984,0.0044579533941236,0.0
31,C,铅钡,紫,无风化,0.669612922889363,0.0,0.0,0.0162552067459108,0.0090419587524128,0.0315960581123641,0.0466321243523316,0.0044701818551254,0.1681397947780148,0.0347455044193843,0.0164583968302346,0.0030478512648582,0.0,0.0
32,C,铅钡,浅绿,无风化,0.7065680113521184,0.0,0.0021285221974457,0.004662477194405,0.0,0.0239205351712953,0.010135819987837,0.001114940198662,0.2002838029596595,0.0494628015406446,0.0017230893979322,0.0,0.0,0.0
33,C,铅钡,深绿,无风化,0.7554021608643459,0.0,0.001500600240096,0.0064025610244097,0.0100040016006402,0.0235094037615046,0.0,0.0047018807523009,0.1616646658663465,0.0355142056822729,0.0013005202080832,0.0,0.0,0.0
34,C,铅钡,深绿,风化,0.3668990976210008,0.0,0.0025635767022149,0.0079983593109105,0.0,0.0166119770303527,0.004819524200164,0.0154840032813781,0.47733798195242,0.1025430680885972,0.0034864643150123,0.0022559474979491,0.0,0.0
35,C,铅钡,浅绿,无风化,0.6850639226691613,0.0,0.0,0.0039496933790666,0.0,0.0149672591206735,0.001766968090635,0.0016630287911859,0.2291861552853134,0.0590375220871011,0.0043654505768631,0.0,0.0,0.0
36,C,铅钡,深绿,风化,0.4053057461845745,0.0227389122196046,0.0014339854552903,0.0037898187032674,0.0,0.0163884052033186,0.0032776810406637,0.0069650722114104,0.4262009628188057,0.1109290177199631,0.0007169927276451,0.0022534057154563,0.0,0.0
37,C,铅钡,深绿,无风化,0.6013202640528105,0.0,0.0023004600920184,0.0089017803560712,0.0,0.0272054410882176,0.0,0.0301060212042408,0.1724344868973794,0.1034206841368273,0.0146029205841168,0.0031006201240248,0.0,0.0366073214642928
38,C,铅钡,深绿,风化,0.3340773054681952,0.0140002029014913,0.0,0.0068986507050826,0.0,0.026072841635386,0.0029420716242264,0.0074059044333975,0.5002536268641575,0.099320280004058,0.004869635791823,0.0041594805721822,0.0,0.0
39,C,铅钡,深绿,风化,0.2657958687727825,0.0,0.0,0.011239368165249,0.0,0.0050627784528149,0.0,0.0089104900769542,0.6179627379505873,0.0731065208586472,0.0117456460105305,0.0061765897124341,0.0,0.0
40,C,铅钡,0,风化,0.1695241960028406,0.0,0.0,0.0189712894389773,0.0,0.0045652835548341,0.0019275641675966,0.0,0.712285685299787,0.067870548848534,0.0179567819823475,0.0068986507050826,0.0,0.0
41,C,铅钡,浅绿,风化,0.1969907160388432,0.0,0.0046953366769821,0.0529292498132536,0.0291324298367303,0.0355351616689787,0.0191014832995411,0.0020275317468786,0.4708142140646676,0.104151104471241,0.0796072991142887,0.0050154732685946,0.0,0.0
42,A,铅钡,浅蓝,无风化,0.5230078563411896,0.0585654525048464,0.0015304560759106,0.0080604019997959,0.0111213141516171,0.0360167329864299,0.0,0.027242118151209,0.2232425262728292,0.1068258340985613,0.0008162432404856,0.0035710641771247,0.0,0.0
42,A,铅钡,浅蓝,无风化,0.5243105209397344,0.0580183861082737,0.0035750766087844,0.0,0.0118488253319714,0.0578140960163432,0.0,0.0277834525025536,0.2055158324821246,0.1111338100102145,0.0,0.0,0.0,0.0
43,C,铅钡,浅蓝,风化,0.1310730882974229,0.0,0.0,0.0553443177017321,0.0094000844951415,0.023764258555133,0.0080270384452893,0.0565061258977608,0.6321292775665399,0.0769961977186311,0.0,0.0067596113223489,0.0,0.0
43,C,铅钡,浅蓝,风化,0.224475018102824,0.0,0.0,0.0662046136340126,0.0098272473362987,0.0352746457018723,0.0143788145236371,0.0156201510292748,0.4629150718940726,0.0337229750698251,0.1327195613944346,0.0048619013137478,0.0,0.0
44,A,铅钡,浅蓝,无风化,0.6127925746569814,0.0308716707021791,0.0020177562550443,0.0215899919289749,0.0,0.1280266343825665,0.0077683615819209,0.0043381759483454,0.1373083131557707,0.0526634382566585,0.0,0.0026230831315577,0.0,0.0
45,A,铅钡,浅蓝,无风化,0.6231441936139923,0.0270490136261948,0.0011185682326621,0.0085417937766931,0.007524913565182,0.0508440105755542,0.0,0.0053894651210087,0.1625991458206223,0.1114500711816148,0.0,0.0023388244864754,0.0,0.0
46,A,铅钡,浅蓝,无风化,0.5597688330122681,0.0,0.0025347257426746,0.0,0.0169319679610666,0.0485653452296461,0.0,0.0078069552874379,0.2560073000101389,0.1019973638852276,0.0020277805941397,0.0043597282774003,0.0,0.0
47,A,铅钡,浅蓝,无风化,0.5299198025909932,0.0479128110220028,0.0029816985399958,0.0089450956199876,0.0062718486530947,0.0314620604565083,0.0,0.0066831174172321,0.261155665227226,0.0949002673246967,0.0010281719103434,0.0087394612379189,0.0,0.0
48,A,铅钡,0,风化,0.5377634365231422,0.0080669557325804,0.0032267822930321,0.0284360189573459,0.0155288897852173,0.1376424321871533,0.0103862055056972,0.0,0.1584148431985479,0.0737118080064535,0.011092064132298,0.0025209236664313,0.0132096400121004,0.0
49,A,铅钡,黑,风化,0.3014659685863874,0.0,0.0,0.047958115183246,0.015392670157068,0.0563350785340314,0.0286910994764397,0.0073298429319371,0.3579057591623037,0.0638743455497382,0.1162303664921466,0.0048167539267015,0.0,0.0
49,A,铅钡,黑,无风化,0.5558835504885994,0.0,0.0030537459283387,0.021172638436482,0.012214983713355,0.0661644951140065,0.0129275244299674,0.0045806188925081,0.2343241042345276,0.042650651465798,0.0439739413680781,0.0030537459283387,0.0,0.0
50,A,铅钡,黑,风化,0.1994011311966285,0.0,0.0,0.0353776200510147,0.0052123766219363,0.0207386048574914,0.0036597537983808,0.012531884218698,0.4879671731174448,0.1574803149606299,0.0703116335810136,0.0073195075967616,0.0,0.0
50,A,铅钡,黑,无风化,0.4644109758613575,0.0,0.0,0.0321848566123375,0.0055704559521353,0.0429131421497833,0.0,0.0072209614194347,0.3157623272127088,0.0641634000412626,0.0654012791417371,0.0023726016092428,0.0,0.0
51,C,铅钡,浅蓝,风化,0.2581558795762089,0.0,0.0,0.0375537606210007,0.0124829539494387,0.0550718556592887,0.0124829539494387,0.0143711318577572,0.422112661281863,0.0937795027798174,0.0849680058743312,0.00409105213469,0.0049302423161649,0.0
51,C,铅钡,浅蓝,风化,0.232824427480916,0.0,0.0,0.0559432933478735,0.0158124318429661,0.0273718647764449,0.0045801526717557,0.0081788440567066,0.5598691384950927,0.0,0.0954198473282442,0.0,0.0,0.0
52,C,铅钡,浅蓝,风化,0.2735969387755102,0.0129676870748299,0.0,0.0241284013605442,0.0058460884353741,0.0123299319727891,0.0024447278911564,0.0074404761904761,0.5040391156462586,0.0918367346938775,0.0606930272108843,0.0046768707482993,0.0,0.0
53,A,铅钡,浅蓝,无风化,0.6479389312977099,0.030941475826972,0.001119592875318,0.0079389312977099,0.0116030534351145,0.0616793893129771,0.0,0.0054961832061068,0.1390330788804071,0.091501272264631,0.0,0.0027480916030534,0.0,0.0
54,C,铅钡,浅蓝,风化,0.2235376743252734,0.0,0.0032105949633791,0.0320056185411859,0.0128423798535166,0.0416374034313233,0.0,0.0083274806862646,0.5564362395906493,0.0706330891943413,0.0425403832647737,0.0088291361492926,0.0,0.0
54,C,铅钡,浅蓝,风化,0.1765373503920759,0.0,0.0,0.0,0.0114527445315724,0.0376599257119273,0.0,0.0138258357408171,0.6031778786628147,0.0,0.1457903425505571,0.0115559224102352,0.0,0.0
55,C,铅钡,绿,无风化,0.5085079892093795,0.0281178667773396,0.0,0.0117244241543888,0.0,0.0150446150653662,0.0,0.0089230130732517,0.3415646399667981,0.0824859929445943,0.0036314588088815,0.0,0.0,0.0
56,C,铅钡,蓝绿,风化,0.3160234171725932,0.0,0.0,0.0131179531656548,0.0,0.0200563746747614,0.0,0.0085646140503035,0.4472029488291413,0.1674978317432784,0.0275368603642671,0.0,0.0,0.0
57,C,铅钡,蓝绿,风化,0.2748999675570455,0.0,0.0,0.0141667567859846,0.0,0.0235752135827836,0.0,0.0125446090623986,0.4877257488915324,0.1870877041202552,0.0,0.0,0.0,0.0
58,C,铅钡,0,风化,0.3077156743620899,0.0,0.0034426893479141,0.035338193600648,0.0079991899554475,0.0356419603078169,0.0087079789388416,0.0316929931146213,0.3984406642365329,0.0775617658971243,0.0910287565816119,0.0024301336573511,0.0,0.0
